state,Vote,votes,winner,fips,area_name,state_abbreviation,"Population, 2014 estimate","Population, 2010 (April 1) estimates base","Population, percent change - April 1, 2010 to July 1, 2014","Population, 2010","Persons under 5 years, percent, 2014","Persons under 18 years, percent, 2014","Persons 65 years and over, percent, 2014","Female persons, percent, 2014","White alone, percent, 2014","Black or African American alone, percent, 2014","American Indian and Alaska Native alone, percent, 2014","Asian alone, percent, 2014","Native Hawaiian and Other Pacific Islander alone, percent, 2014","Two or More Races, percent, 2014","Hispanic or Latino, percent, 2014","White alone, not Hispanic or Latino, percent, 2014","Living in same house 1 year & over, percent, 2009-2013","Foreign born persons, percent, 2009-2013","Language other than English spoken at home, percent, age 5+, 2009-2013","High school graduate or higher, percent of persons age 25+, 2009-2013","Bachelor's degree or higher, percent of persons age 25+, 2009-2013","Veterans, 2009-2013","Mean travel time to work (minutes), workers age 16+, 2009-2013","Housing units, 2014","Homeownership rate, 2009-2013","Housing units in multi-unit structures, percent, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Households, 2009-2013","Persons per household, 2009-2013","Per capita money income in past 12 months (2013 dollars), 2009-2013","Median household income, 2009-2013","Persons below poverty level, percent, 2009-2013","Private nonfarm establishments, 2013","Private nonfarm employment, 2013","Private nonfarm employment, percent change, 2012-2013","Nonemployer establishments, 2013","Total number of firms, 2007","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Manufacturers shipments, 2007 ($1,000)","Merchant wholesaler sales, 2007 ($1,000)","Retail sales, 2007 ($1,000)","Retail sales per capita, 2007","Accommodation and food services sales, 2007 ($1,000)","Building permits, 2014","Land area in square miles, 2010","Population per square mile, 2010"
Alabama,0.93,67357.0,Hillary Clinton,1000,Alabama,,4849377,4780127,1.4,4779736,6.1,22.8,15.3,51.5,69.7,26.7,0.7,1.3,0.1,1.5,4.1,66.2,85.0,3.5,5.2,83.1,22.6,388865,24.2,2207912,69.7,15.9,122500,1838683,2.55,23680,43253,18.6,97578,1603100,1.1,311578,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13369,50645.33,94.4
Alaska,1.0,21.0,Bernie Sanders,2000,Alaska,,736732,710249,3.7,710231,7.4,25.3,9.4,47.4,66.9,3.9,14.8,6.1,1.3,7.1,6.8,61.9,80.3,7.0,16.2,91.6,27.5,71004,18.8,308583,63.8,24.0,241800,251899,2.75,32651,70760,9.9,20519,266627,3.3,52991,68728,1.5,10.0,3.1,0.3,0.0,25.9,8204030,4563605,9303387,13635,1851293,1518,570640.95,1.2
Arizona,0.664,126988.0,Hillary Clinton,4000,Arizona,,6731484,6392310,5.3,6392017,6.4,24.1,15.9,50.3,83.7,4.7,5.3,3.3,0.3,2.7,30.5,56.2,80.4,13.4,26.8,85.7,26.9,522382,24.6,2909218,64.4,20.7,165100,2370289,2.67,25358,49774,17.9,132762,2173205,1.8,420233,491529,2.0,1.9,3.3,0.0,10.7,28.1,57977827,57573459,86758801,13637,13268514,26997,113594.08,56.3
Arkansas,0.8959999999999999,34862.0,Hillary Clinton,5000,Arkansas,,2966369,2915958,1.7,2915918,6.5,23.8,15.7,50.9,79.7,15.6,1.0,1.5,0.3,1.9,7.0,73.4,83.6,4.5,7.2,83.7,20.1,237311,21.3,1341033,66.7,15.7,107300,1129723,2.53,22170,40768,19.2,64772,978094,0.0,191530,238994,5.5,1.1,1.4,0.1,2.3,24.5,60735582,29659789,32974282,11602,3559795,7666,52035.48,56.0
California,0.68,590502.0,Hillary Clinton,6000,California,,38802500,37254503,4.2,37253956,6.5,23.6,12.9,50.3,73.2,6.5,1.7,14.4,0.5,3.7,38.6,38.5,84.2,27.0,43.7,81.2,30.7,1893539,27.2,13900766,55.3,31.0,366400,12542460,2.94,29527,61094,15.9,874243,13401863,3.5,2983996,3425510,4.0,1.3,14.9,0.3,16.5,30.3,491372092,598456486,455032270,12561,80852787,83645,155779.22,239.1
Colorado,0.8109999999999999,14624.0,Bernie Sanders,8000,Colorado,,5355866,5029324,6.5,5029196,6.3,23.3,12.7,49.8,87.7,4.5,1.6,3.1,0.2,2.9,21.2,69.0,80.7,9.7,16.8,90.2,37.0,399458,24.5,2276184,65.4,25.9,236200,1977591,2.53,31109,58433,13.2,154875,2090975,2.7,447586,547770,1.7,0.8,2.6,0.1,6.2,29.2,46331953,53598986,65896788,13609,11440395,28686,103641.89,48.5
Connecticut,0.746,9710.0,Hillary Clinton,9000,Connecticut,,3596677,3574096,0.6,3574097,5.3,21.6,15.5,51.2,81.2,11.5,0.5,4.5,0.1,2.2,15.0,68.8,88.0,13.6,21.5,89.2,36.5,217947,24.8,1493564,67.8,34.4,278900,1355849,2.55,37892,69461,10.2,88498,1473605,0.7,263511,332150,4.4,0.5,3.3,0.0,4.2,28.1,58404898,107917037,52165480,14953,9138437,5329,4842.36,738.1
Delaware,0.614,38580.0,Hillary Clinton,10000,Delaware,,935614,897936,4.2,897934,6.0,21.8,16.4,51.6,70.8,22.2,0.7,3.8,0.1,2.5,8.9,63.7,86.3,8.4,12.6,87.7,28.9,75081,24.8,417437,72.5,17.6,235800,335707,2.63,29819,59878,11.7,24151,382128,5.1,56861,74573,8.7,0.0,4.0,0.0,2.1,26.1,25679939,5727401,14202083,16421,1910770,5194,1948.54,460.8
District of Columbia,0.9086,282830.0,Hillary Clinton,11001,District of Columbia,DC,658893,601767,9.5,601723,6.5,17.5,11.3,52.6,43.6,49.0,0.6,4.0,0.2,2.6,10.4,35.8,80.6,13.8,15.8,88.4,52.4,30520,29.7,306174,42.1,62.3,445200,263649,2.2,45290,65830,18.6,21919,491130,1.7,52262,55887,28.2,0.9,5.9,0.0,6.1,34.5,332844,2117990,3843716,6555,4278171,4189,61.05,9856.6
Florida,0.764,132527.0,Hillary Clinton,12000,Florida,,19893297,18804623,5.8,18801310,5.5,20.4,19.1,51.1,77.8,16.8,0.5,2.8,0.1,2.0,24.1,55.8,83.7,19.4,27.4,86.1,26.4,1569406,25.9,9144250,67.1,30.1,160200,7158980,2.61,26236,46956,16.3,510389,7134644,2.9,1838864,2009589,9.0,0.5,3.2,0.1,22.4,28.9,104832907,221641518,262341127,14353,41922059,84075,53624.76,350.6
